id_trabajador,estado,antiguedad,curso,curso_id
1248,Puebla,27.0,Atención de asuntos jurídicos,2
1707,Puebla,27.0,Atención de asuntos jurídicos,3
437,Ciudad de México,27.0,Atención de asuntos jurídicos,3
321,Veracruz,27.0,Atención de asuntos jurídicos,3
2033,Chiapas,27.0,Atención de asuntos jurídicos,3
704,Sonora,26.0,Atención de asuntos jurídicos,3
1429,Aguascalientes,26.0,Atención de asuntos jurídicos,3
1208,México,26.0,Atención de asuntos jurídicos,3
1979,Nuevo León,26.0,Atención de asuntos jurídicos,3
1754,Sonora,25.0,Atención de asuntos jurídicos,3
2103,Nayarit,25.0,Atención de asuntos jurídicos,3
486,México,25.0,Atención de asuntos jurídicos,3
1188,Tlaxcala,25.0,Atención de asuntos jurídicos,3
1322,México,25.0,Atención de asuntos jurídicos,3
158,Nuevo León,25.0,Atención de asuntos jurídicos,3
1341,México,25.0,Atención de asuntos jurídicos,3
2006,Oaxaca,25.0,Atención de asuntos jurídicos,3
182,Hidalgo,24.0,Atención de asuntos jurídicos,3
878,Ciudad de México,24.0,Atención de asuntos jurídicos,3
1380,Ciudad de México,23.0,Atención de asuntos jurídicos,3
326,Veracruz,23.0,Atención de asuntos jurídicos,3
941,Hidalgo,23.0,Atención de asuntos jurídicos,4
365,Chiapas,22.0,Atención de asuntos jurídicos,4
522,Jalisco,22.0,Atención de asuntos jurídicos,4
720,Veracruz,22.0,Atención de asuntos jurídicos,4
884,Michoacán,22.0,Atención de asuntos jurídicos,4
1094,Tlaxcala,22.0,Atención de asuntos jurídicos,4
1669,Chiapas,22.0,Atención de asuntos jurídicos,4
1909,Puebla,22.0,Atención de asuntos jurídicos,4
126,Yucatán,22.0,Atención de asuntos jurídicos,4
322,Sinaloa,22.0,Atención de asuntos jurídicos,4
787,México,22.0,Atención de asuntos jurídicos,4
1192,México,22.0,Atención de asuntos jurídicos,4
329,Aguascalientes,21.0,Atención de asuntos jurídicos,4
687,Puebla,21.0,Atención de asuntos jurídicos,4
972,Ciudad de México,21.0,Atención de asuntos jurídicos,4
1382,Guanajuato,21.0,Atención de asuntos jurídicos,4
868,Ciudad de México,21.0,Atención de asuntos jurídicos,4
1343,México,21.0,Atención de asuntos jurídicos,4
1528,Ciudad de México,21.0,Atención de asuntos jurídicos,4
697,Quintana Roo,20.0,Atención de asuntos jurídicos,4
765,Tamaulipas,20.0,Atención de asuntos jurídicos,5
1388,México,20.0,Atención de asuntos jurídicos,5
1657,Tamaulipas,20.0,Atención de asuntos jurídicos,5
1901,Ciudad de México,20.0,Atención de asuntos jurídicos,5
242,Ciudad de México,20.0,Atención de asuntos jurídicos,5
1193,México,20.0,Atención de asuntos jurídicos,5
1702,Ciudad de México,20.0,Atención de asuntos jurídicos,5
1932,Veracruz,20.0,Atención de asuntos jurídicos,5
89,Tamaulipas,19.0,Atención de asuntos jurídicos,5
165,México,19.0,Atención de asuntos jurídicos,5
857,Chiapas,19.0,Atención de asuntos jurídicos,5
1405,Jalisco,19.0,Atención de asuntos jurídicos,5
1668,Sinaloa,19.0,Atención de asuntos jurídicos,5
80,Oaxaca,18.0,Atención de asuntos jurídicos,5
1650,Ciudad de México,18.0,Atención de asuntos jurídicos,5
706,Puebla,18.0,Atención de asuntos jurídicos,5
556,Guanajuato,17.0,Atención de asuntos jurídicos,5
1337,Yucatán,17.0,Atención de asuntos jurídicos,5
1863,Aguascalientes,17.0,Atención de asuntos jurídicos,5
489,México,16.0,Atención de asuntos jurídicos,5
2068,Guerrero,16.0,Atención de asuntos jurídicos,6
412,Ciudad de México,16.0,Atención de asuntos jurídicos,6
2155,Guanajuato,16.0,Atención de asuntos jurídicos,6
827,Ciudad de México,15.0,Atención de asuntos jurídicos,6
1308,Ciudad de México,15.0,Atención de asuntos jurídicos,6
1108,Nuevo León,14.0,Atención de asuntos jurídicos,6
1274,Guerrero,14.0,Atención de asuntos jurídicos,6
111,Ciudad de México,14.0,Atención de asuntos jurídicos,6
310,Chihuahua,14.0,Atención de asuntos jurídicos,6
610,Tlaxcala,14.0,Atención de asuntos jurídicos,6
157,Jalisco,13.0,Atención de asuntos jurídicos,6
264,Tabasco,13.0,Atención de asuntos jurídicos,6
1369,Ciudad de México,13.0,Atención de asuntos jurídicos,6
73,Guanajuato,13.0,Atención de asuntos jurídicos,6
496,Jalisco,13.0,Atención de asuntos jurídicos,6
499,México,13.0,Atención de asuntos jurídicos,6
1196,Nuevo León,13.0,Atención de asuntos jurídicos,6
2135,Ciudad de México,13.0,Atención de asuntos jurídicos,6
75,México,13.0,Atención de asuntos jurídicos,6
1119,Chiapas,13.0,Atención de asuntos jurídicos,6
1294,Puebla,13.0,Atención de asuntos jurídicos,7
1755,Ciudad de México,13.0,Atención de asuntos jurídicos,7
982,Quintana Roo,12.0,Atención de asuntos jurídicos,7
1256,Ciudad de México,12.0,Atención de asuntos jurídicos,7
170,Chihuahua,11.0,Atención de asuntos jurídicos,7
701,Tamaulipas,11.0,Atención de asuntos jurídicos,7
1752,Morelos,11.0,Atención de asuntos jurídicos,7
2168,Ciudad de México,11.0,Atención de asuntos jurídicos,7
370,México,11.0,Atención de asuntos jurídicos,7
883,Veracruz,11.0,Atención de asuntos jurídicos,7
1018,México,11.0,Atención de asuntos jurídicos,7
1114,Veracruz,11.0,Atención de asuntos jurídicos,7
890,Veracruz,11.0,Atención de asuntos jurídicos,7
1539,Puebla,11.0,Atención de asuntos jurídicos,7
1740,Chihuahua,11.0,Atención de asuntos jurídicos,7
51,Ciudad de México,10.0,Atención de asuntos jurídicos,7
160,Ciudad de México,10.0,Atención de asuntos jurídicos,7
1459,Tabasco,10.0,Atención de asuntos jurídicos,7
1484,Puebla,10.0,Atención de asuntos jurídicos,7
1983,Sinaloa,10.0,Atención de asuntos jurídicos,7
204,México,10.0,Atención de asuntos jurídicos,8
470,México,10.0,Atención de asuntos jurídicos,8
792,Guanajuato,10.0,Atención de asuntos jurídicos,8
895,Hidalgo,10.0,Atención de asuntos jurídicos,8
996,Ciudad de México,10.0,Atención de asuntos jurídicos,8
1478,Tamaulipas,10.0,Atención de asuntos jurídicos,8
1717,Guanajuato,10.0,Atención de asuntos jurídicos,8
1125,Nayarit,9.0,Atención de asuntos jurídicos,8
1726,Ciudad de México,9.0,Atención de asuntos jurídicos,8
1782,Ciudad de México,9.0,Atención de asuntos jurídicos,8
1942,Nuevo León,9.0,Atención de asuntos jurídicos,8
277,Jalisco,8.0,Atención de asuntos jurídicos,8
1140,Chiapas,8.0,Atención de asuntos jurídicos,8
1408,Ciudad de México,8.0,Atención de asuntos jurídicos,8
2036,Hidalgo,8.0,Atención de asuntos jurídicos,8
136,México,7.0,Atención de asuntos jurídicos,8
138,Nuevo León,7.0,Atención de asuntos jurídicos,8
194,México,7.0,Atención de asuntos jurídicos,8
1102,Guerrero,7.0,Atención de asuntos jurídicos,8
1143,Nayarit,7.0,Atención de asuntos jurídicos,8
1407,Ciudad de México,7.0,Atención de asuntos jurídicos,9
1765,Ciudad de México,7.0,Atención de asuntos jurídicos,9
2146,Veracruz,7.0,Atención de asuntos jurídicos,9
161,Chihuahua,7.0,Atención de asuntos jurídicos,9
579,Tamaulipas,7.0,Atención de asuntos jurídicos,9
760,México,7.0,Atención de asuntos jurídicos,9
1255,Ciudad de México,7.0,Atención de asuntos jurídicos,9
1457,Ciudad de México,7.0,Atención de asuntos jurídicos,9
1728,Ciudad de México,7.0,Atención de asuntos jurídicos,9
523,México,7.0,Atención de asuntos jurídicos,9
1795,Jalisco,7.0,Atención de asuntos jurídicos,9
1826,Guerrero,7.0,Atención de asuntos jurídicos,9
1948,Querétaro,6.0,Atención de asuntos jurídicos,9
699,Jalisco,6.0,Atención de asuntos jurídicos,9
46,Ciudad de México,5.0,Atención de asuntos jurídicos,9
105,Campeche,5.0,Atención de asuntos jurídicos,9
599,Ciudad de México,5.0,Atención de asuntos jurídicos,9
722,Colima,5.0,Atención de asuntos jurídicos,9
1165,Michoacán,5.0,Atención de asuntos jurídicos,9
1553,Ciudad de México,5.0,Atención de asuntos jurídicos,9
1487,Ciudad de México,5.0,Atención de asuntos jurídicos,10
1581,Colima,5.0,Atención de asuntos jurídicos,10
93,México,5.0,Atención de asuntos jurídicos,10
237,Ciudad de México,5.0,Atención de asuntos jurídicos,10
567,Ciudad de México,5.0,Atención de asuntos jurídicos,10
1476,México,5.0,Atención de asuntos jurídicos,10
471,Ciudad de México,4.0,Atención de asuntos jurídicos,10
606,Guanajuato,4.0,Atención de asuntos jurídicos,10
1250,Ciudad de México,4.0,Atención de asuntos jurídicos,10
1390,Ciudad de México,4.0,Atención de asuntos jurídicos,10
1443,Ciudad de México,4.0,Atención de asuntos jurídicos,10
2174,Ciudad de México,4.0,Atención de asuntos jurídicos,10
69,Tlaxcala,4.0,Atención de asuntos jurídicos,10
98,Jalisco,4.0,Atención de asuntos jurídicos,10
141,Ciudad de México,4.0,Atención de asuntos jurídicos,10
696,Ciudad de México,4.0,Atención de asuntos jurídicos,10
1162,Zacatecas,4.0,Atención de asuntos jurídicos,10
1538,Veracruz,4.0,Atención de asuntos jurídicos,10
1213,Coahuila,2.6,Atención de asuntos jurídicos,10
1081,Veracruz,2.5,Atención de asuntos jurídicos,10
341,Quintana Roo,2.0,Atención de asuntos jurídicos,11
575,México,2.0,Atención de asuntos jurídicos,11
2082,Baja California,2.0,Atención de asuntos jurídicos,11
413,Chiapas,2.0,Atención de asuntos jurídicos,11
640,Colima,2.0,Atención de asuntos jurídicos,11
785,México,2.0,Atención de asuntos jurídicos,11
1272,México,2.0,Atención de asuntos jurídicos,11
1602,Hidalgo,2.0,Atención de asuntos jurídicos,11
482,Tabasco,2.0,Atención de asuntos jurídicos,11
1505,Veracruz,2.0,Atención de asuntos jurídicos,11
1555,Jalisco,2.0,Atención de asuntos jurídicos,11
2127,Querétaro,1.8,Atención de asuntos jurídicos,11
21,Oaxaca,1.6,Atención de asuntos jurídicos,11
1073,Nayarit,1.5,Atención de asuntos jurídicos,11
2034,Ciudad de México,1.5,Atención de asuntos jurídicos,11
251,Ciudad de México,1.0,Atención de asuntos jurídicos,11
469,Guerrero,1.0,Atención de asuntos jurídicos,11
487,Chiapas,1.0,Atención de asuntos jurídicos,11
545,Ciudad de México,1.0,Atención de asuntos jurídicos,11
778,Ciudad de México,1.0,Atención de asuntos jurídicos,11
1055,Ciudad de México,1.0,"Aplicación y gestión de recursos humanos, materiales y financieros",12
1060,Ciudad de México,1.0,"Aplicación y gestión de recursos humanos, materiales y financieros",12
1500,Michoacán,1.0,"Aplicación y gestión de recursos humanos, materiales y financieros",12
1656,México,1.0,"Aplicación y gestión de recursos humanos, materiales y financieros",12
1664,Ciudad de México,1.0,"Aplicación y gestión de recursos humanos, materiales y financieros",12
1764,Ciudad de México,1.0,"Aplicación y gestión de recursos humanos, materiales y financieros",12
630,Ciudad de México,1.0,"Aplicación y gestión de recursos humanos, materiales y financieros",12
643,Nuevo León,1.0,"Aplicación y gestión de recursos humanos, materiales y financieros",12
1057,Ciudad de México,1.0,"Aplicación y gestión de recursos humanos, materiales y financieros",12
1112,Chiapas,1.0,"Aplicación y gestión de recursos humanos, materiales y financieros",12
1242,Ciudad de México,1.0,"Aplicación y gestión de recursos humanos, materiales y financieros",12
1610,Ciudad de México,1.0,"Aplicación y gestión de recursos humanos, materiales y financieros",12
1643,Ciudad de México,1.0,"Aplicación y gestión de recursos humanos, materiales y financieros",12
1822,Querétaro,1.0,"Aplicación y gestión de recursos humanos, materiales y financieros",12
702,México,0.1,"Aplicación y gestión de recursos humanos, materiales y financieros",12
1737,Chiapas,32.0,"Aplicación y gestión de recursos humanos, materiales y financieros",12
427,Nuevo León,32.0,"Aplicación y gestión de recursos humanos, materiales y financieros",12
1880,México,32.0,"Aplicación y gestión de recursos humanos, materiales y financieros",12
416,Baja California,32.0,"Aplicación y gestión de recursos humanos, materiales y financieros",12
125,Yucatán,31.0,"Aplicación y gestión de recursos humanos, materiales y financieros",12
219,Puebla,31.0,"Aplicación y gestión de recursos humanos, materiales y financieros",13
737,Jalisco,31.0,"Aplicación y gestión de recursos humanos, materiales y financieros",13
764,Nuevo León,31.0,"Aplicación y gestión de recursos humanos, materiales y financieros",13
801,Guanajuato,31.0,"Aplicación y gestión de recursos humanos, materiales y financieros",13
384,México,31.0,"Aplicación y gestión de recursos humanos, materiales y financieros",13
1794,Morelos,31.0,"Aplicación y gestión de recursos humanos, materiales y financieros",13
850,México,30.0,"Aplicación y gestión de recursos humanos, materiales y financieros",13
1612,Chiapas,30.0,"Aplicación y gestión de recursos humanos, materiales y financieros",13
17,Ciudad de México,30.0,"Aplicación y gestión de recursos humanos, materiales y financieros",13
791,Campeche,30.0,"Aplicación y gestión de recursos humanos, materiales y financieros",13
1021,Colima,30.0,"Aplicación y gestión de recursos humanos, materiales y financieros",13
1611,Jalisco,30.0,"Aplicación y gestión de recursos humanos, materiales y financieros",13
47,México,30.0,"Aplicación y gestión de recursos humanos, materiales y financieros",13
596,México,30.0,"Aplicación y gestión de recursos humanos, materiales y financieros",13
1722,Tabasco,30.0,"Aplicación y gestión de recursos humanos, materiales y financieros",13
1732,Nuevo León,30.0,"Aplicación y gestión de recursos humanos, materiales y financieros",13
1843,Ciudad de México,30.0,"Aplicación y gestión de recursos humanos, materiales y financieros",13
475,Puebla,29.0,"Aplicación y gestión de recursos humanos, materiales y financieros",13
652,México,29.0,"Aplicación y gestión de recursos humanos, materiales y financieros",13
1180,México,29.0,"Aplicación y gestión de recursos humanos, materiales y financieros",13
1470,Durango,29.0,"Aplicación y gestión de recursos humanos, materiales y financieros",14
1260,Coahuila,29.0,"Aplicación y gestión de recursos humanos, materiales y financieros",14
1885,Guerrero,29.0,"Aplicación y gestión de recursos humanos, materiales y financieros",14
2124,Querétaro,29.0,"Aplicación y gestión de recursos humanos, materiales y financieros",14
462,Chihuahua,29.0,"Aplicación y gestión de recursos humanos, materiales y financieros",14
560,Ciudad de México,29.0,"Aplicación y gestión de recursos humanos, materiales y financieros",14
882,Baja California,29.0,"Aplicación y gestión de recursos humanos, materiales y financieros",14
1593,Puebla,29.0,"Aplicación y gestión de recursos humanos, materiales y financieros",14
1626,Chiapas,29.0,"Aplicación y gestión de recursos humanos, materiales y financieros",14
1986,Michoacán,29.0,"Aplicación y gestión de recursos humanos, materiales y financieros",14
1899,Baja California Sur,28.0,"Aplicación y gestión de recursos humanos, materiales y financieros",14
1171,Ciudad de México,28.0,"Aplicación y gestión de recursos humanos, materiales y financieros",14
1386,México,28.0,"Aplicación y gestión de recursos humanos, materiales y financieros",14
1823,Durango,28.0,"Aplicación y gestión de recursos humanos, materiales y financieros",14
1968,Zacatecas,28.0,"Aplicación y gestión de recursos humanos, materiales y financieros",14
1248,Puebla,27.0,"Aplicación y gestión de recursos humanos, materiales y financieros",14
1525,Sinaloa,27.0,"Aplicación y gestión de recursos humanos, materiales y financieros",14
1707,Puebla,27.0,"Aplicación y gestión de recursos humanos, materiales y financieros",14
437,Ciudad de México,27.0,"Aplicación y gestión de recursos humanos, materiales y financieros",14
1604,Nuevo León,26.0,"Aplicación y gestión de recursos humanos, materiales y financieros",14
731,Querétaro,26.0,"Aplicación y gestión de recursos humanos, materiales y financieros",15
485,Chihuahua,25.0,"Aplicación y gestión de recursos humanos, materiales y financieros",15
486,México,25.0,"Aplicación y gestión de recursos humanos, materiales y financieros",15
2171,Ciudad de México,25.0,"Aplicación y gestión de recursos humanos, materiales y financieros",15
1169,Yucatán,25.0,"Aplicación y gestión de recursos humanos, materiales y financieros",15
1642,Guanajuato,25.0,"Aplicación y gestión de recursos humanos, materiales y financieros",15
814,Ciudad de México,25.0,"Aplicación y gestión de recursos humanos, materiales y financieros",15
1322,México,25.0,"Aplicación y gestión de recursos humanos, materiales y financieros",15
2028,Michoacán,25.0,"Aplicación y gestión de recursos humanos, materiales y financieros",15
182,Hidalgo,24.0,"Aplicación y gestión de recursos humanos, materiales y financieros",15
1557,Guanajuato,24.0,"Aplicación y gestión de recursos humanos, materiales y financieros",15
140,Tlaxcala,23.0,"Aplicación y gestión de recursos humanos, materiales y financieros",15
326,Veracruz,23.0,"Aplicación y gestión de recursos humanos, materiales y financieros",15
1397,Tlaxcala,23.0,"Aplicación y gestión de recursos humanos, materiales y financieros",15
43,México,22.0,"Aplicación y gestión de recursos humanos, materiales y financieros",15
126,Yucatán,22.0,"Aplicación y gestión de recursos humanos, materiales y financieros",15
1659,Sinaloa,22.0,"Aplicación y gestión de recursos humanos, materiales y financieros",15
2071,Jalisco,22.0,"Aplicación y gestión de recursos humanos, materiales y financieros",15
543,Jalisco,22.0,"Aplicación y gestión de recursos humanos, materiales y financieros",15
720,Veracruz,22.0,"Aplicación y gestión de recursos humanos, materiales y financieros",15
1094,Tlaxcala,22.0,"Aplicación y gestión de recursos humanos, materiales y financieros",16
1909,Puebla,22.0,"Aplicación y gestión de recursos humanos, materiales y financieros",16
119,Guanajuato,22.0,"Aplicación y gestión de recursos humanos, materiales y financieros",16
571,Ciudad de México,22.0,"Aplicación y gestión de recursos humanos, materiales y financieros",16
376,México,21.0,"Aplicación y gestión de recursos humanos, materiales y financieros",16
972,Ciudad de México,21.0,"Aplicación y gestión de recursos humanos, materiales y financieros",16
1329,Veracruz,21.0,"Aplicación y gestión de recursos humanos, materiales y financieros",16
1382,Guanajuato,21.0,"Aplicación y gestión de recursos humanos, materiales y financieros",16
830,México,21.0,"Aplicación y gestión de recursos humanos, materiales y financieros",16
203,México,20.0,"Aplicación y gestión de recursos humanos, materiales y financieros",16
574,México,20.0,"Aplicación y gestión de recursos humanos, materiales y financieros",16
765,Tamaulipas,20.0,"Aplicación y gestión de recursos humanos, materiales y financieros",16
1388,México,20.0,"Aplicación y gestión de recursos humanos, materiales y financieros",16
1657,Tamaulipas,20.0,"Aplicación y gestión de recursos humanos, materiales y financieros",16
461,Ciudad de México,20.0,"Aplicación y gestión de recursos humanos, materiales y financieros",16
929,Oaxaca,20.0,"Aplicación y gestión de recursos humanos, materiales y financieros",16
857,Chiapas,19.0,"Aplicación y gestión de recursos humanos, materiales y financieros",16
1953,Michoacán,19.0,"Aplicación y gestión de recursos humanos, materiales y financieros",16
1952,Tlaxcala,19.0,"Aplicación y gestión de recursos humanos, materiales y financieros",16
706,Puebla,18.0,"Aplicación y gestión de recursos humanos, materiales y financieros",16
1123,México,18.0,"Aplicación y gestión de recursos humanos, materiales y financieros",17
556,Guanajuato,17.0,"Aplicación y gestión de recursos humanos, materiales y financieros",17
1337,Yucatán,17.0,"Aplicación y gestión de recursos humanos, materiales y financieros",17
295,Jalisco,16.0,"Aplicación y gestión de recursos humanos, materiales y financieros",17
565,Guanajuato,16.0,"Aplicación y gestión de recursos humanos, materiales y financieros",17
855,Guanajuato,16.0,"Aplicación y gestión de recursos humanos, materiales y financieros",17
956,Veracruz,16.0,"Aplicación y gestión de recursos humanos, materiales y financieros",17
548,México,16.0,"Aplicación y gestión de recursos humanos, materiales y financieros",17
1409,México,16.0,"Aplicación y gestión de recursos humanos, materiales y financieros",17
1324,Chihuahua,14.0,"Aplicación y gestión de recursos humanos, materiales y financieros",17
1108,Nuevo León,14.0,"Aplicación y gestión de recursos humanos, materiales y financieros",17
1573,Jalisco,14.0,"Aplicación y gestión de recursos humanos, materiales y financieros",17
85,San Luis Potosí,14.0,"Aplicación y gestión de recursos humanos, materiales y financieros",17
1274,Guerrero,14.0,"Aplicación y gestión de recursos humanos, materiales y financieros",17
816,Michoacán,13.0,"Aplicación y gestión de recursos humanos, materiales y financieros",17
1294,Puebla,13.0,"Aplicación y gestión de recursos humanos, materiales y financieros",17
73,Guanajuato,13.0,"Aplicación y gestión de recursos humanos, materiales y financieros",17
157,Jalisco,13.0,"Aplicación y gestión de recursos humanos, materiales y financieros",17
403,Tlaxcala,13.0,"Aplicación y gestión de recursos humanos, materiales y financieros",17
418,Ciudad de México,13.0,"Aplicación y gestión de recursos humanos, materiales y financieros",17
496,Jalisco,13.0,"Aplicación y gestión de recursos humanos, materiales y financieros",18
499,México,13.0,"Aplicación y gestión de recursos humanos, materiales y financieros",18
716,Michoacán,13.0,"Aplicación y gestión de recursos humanos, materiales y financieros",18
1435,Sinaloa,13.0,"Aplicación y gestión de recursos humanos, materiales y financieros",18
1114,Veracruz,11.0,"Aplicación y gestión de recursos humanos, materiales y financieros",18
170,Chihuahua,11.0,"Aplicación y gestión de recursos humanos, materiales y financieros",18
701,Tamaulipas,11.0,"Aplicación y gestión de recursos humanos, materiales y financieros",18
1740,Chihuahua,11.0,"Aplicación y gestión de recursos humanos, materiales y financieros",18
370,México,11.0,"Aplicación y gestión de recursos humanos, materiales y financieros",18
2000,Puebla,11.0,"Aplicación y gestión de recursos humanos, materiales y financieros",18
160,Ciudad de México,10.0,"Aplicación y gestión de recursos humanos, materiales y financieros",18
177,Sinaloa,10.0,"Aplicación y gestión de recursos humanos, materiales y financieros",18
181,Oaxaca,10.0,"Aplicación y gestión de recursos humanos, materiales y financieros",18
1484,Puebla,10.0,"Aplicación y gestión de recursos humanos, materiales y financieros",18
1983,Sinaloa,10.0,"Aplicación y gestión de recursos humanos, materiales y financieros",18
204,México,10.0,"Aplicación y gestión de recursos humanos, materiales y financieros",18
1462,Ciudad de México,10.0,"Aplicación y gestión de recursos humanos, materiales y financieros",18
1861,Sonora,10.0,"Aplicación y gestión de recursos humanos, materiales y financieros",18
1125,Nayarit,9.0,"Aplicación y gestión de recursos humanos, materiales y financieros",18
277,Jalisco,8.0,"Aplicación y gestión de recursos humanos, materiales y financieros",18
350,Baja California,8.0,"Aplicación y gestión de recursos humanos, materiales y financieros",19
967,San Luis Potosí,8.0,"Aplicación y gestión de recursos humanos, materiales y financieros",19
1950,Quintana Roo,8.0,"Aplicación y gestión de recursos humanos, materiales y financieros",19
38,Chihuahua,8.0,"Aplicación y gestión de recursos humanos, materiales y financieros",19
750,Durango,8.0,"Aplicación y gestión de recursos humanos, materiales y financieros",19
928,Puebla,8.0,"Aplicación y gestión de recursos humanos, materiales y financieros",19
1158,México,8.0,"Aplicación y gestión de recursos humanos, materiales y financieros",19
1372,México,8.0,"Aplicación y gestión de recursos humanos, materiales y financieros",19
579,Tamaulipas,7.0,"Aplicación y gestión de recursos humanos, materiales y financieros",19
136,México,7.0,"Aplicación y gestión de recursos humanos, materiales y financieros",19
194,México,7.0,"Aplicación y gestión de recursos humanos, materiales y financieros",19
13,Guanajuato,7.0,"Aplicación y gestión de recursos humanos, materiales y financieros",19
1181,Sonora,7.0,"Aplicación y gestión de recursos humanos, materiales y financieros",19
1711,Coahuila,7.0,"Aplicación y gestión de recursos humanos, materiales y financieros",19
1725,Ciudad de México,7.0,"Aplicación y gestión de recursos humanos, materiales y financieros",19
2146,Veracruz,7.0,"Aplicación y gestión de recursos humanos, materiales y financieros",19
1791,Chihuahua,6.0,"Aplicación y gestión de recursos humanos, materiales y financieros",19
1948,Querétaro,6.0,"Aplicación y gestión de recursos humanos, materiales y financieros",19
74,Yucatán,6.0,"Aplicación y gestión de recursos humanos, materiales y financieros",19
337,Sinaloa,6.0,"Aplicación y gestión de recursos humanos, materiales y financieros",19
1768,San Luis Potosí,5.0,"Aplicación y gestión de recursos humanos, materiales y financieros",20
93,México,5.0,"Aplicación y gestión de recursos humanos, materiales y financieros",20
105,Campeche,5.0,"Aplicación y gestión de recursos humanos, materiales y financieros",20
122,Chiapas,5.0,"Aplicación y gestión de recursos humanos, materiales y financieros",20
722,Colima,5.0,"Aplicación y gestión de recursos humanos, materiales y financieros",20
821,Guanajuato,5.0,"Aplicación y gestión de recursos humanos, materiales y financieros",20
1080,Nayarit,5.0,"Aplicación y gestión de recursos humanos, materiales y financieros",20
1165,Michoacán,5.0,"Aplicación y gestión de recursos humanos, materiales y financieros",20
825,México,5.0,"Aplicación y gestión de recursos humanos, materiales y financieros",20
1581,Colima,5.0,"Aplicación y gestión de recursos humanos, materiales y financieros",20
2051,Hidalgo,4.9,"Aplicación y gestión de recursos humanos, materiales y financieros",20
1978,Ciudad de México,4.5,"Aplicación y gestión de recursos humanos, materiales y financieros",20
98,Jalisco,4.0,"Aplicación y gestión de recursos humanos, materiales y financieros",20
448,Puebla,4.0,"Aplicación y gestión de recursos humanos, materiales y financieros",20
283,Sinaloa,4.0,"Aplicación y gestión de recursos humanos, materiales y financieros",20
606,Guanajuato,4.0,"Aplicación y gestión de recursos humanos, materiales y financieros",20
1450,Baja California,4.0,"Aplicación y gestión de recursos humanos, materiales y financieros",20
1538,Veracruz,4.0,"Aplicación y gestión de recursos humanos, materiales y financieros",20
1213,Coahuila,2.6,"Aplicación y gestión de recursos humanos, materiales y financieros",20
1602,Hidalgo,2.0,"Aplicación y gestión de recursos humanos, materiales y financieros",20
341,Quintana Roo,2.0,Selección de personal,21
575,México,2.0,Selección de personal,21
413,Chiapas,2.0,Selección de personal,21
640,Colima,2.0,Selección de personal,21
785,México,2.0,Selección de personal,21
2127,Querétaro,1.8,Selección de personal,21
21,Oaxaca,1.6,Selección de personal,21
1053,Jalisco,1.6,Selección de personal,21
789,Chihuahua,1.5,Selección de personal,21
1112,Chiapas,1.0,Selección de personal,21
2138,Ciudad de México,1.0,Selección de personal,21
30,Chiapas,1.0,Selección de personal,21
212,Quintana Roo,1.0,Selección de personal,21
635,Coahuila,1.0,Selección de personal,21
670,Jalisco,1.0,Selección de personal,21
773,Querétaro,1.0,Selección de personal,21
1500,Michoacán,1.0,Selección de personal,21
199,Guerrero,1.0,Selección de personal,21
